Index,Target,Type,Alcohol,Density,Nitrogen,pH,Sugar,A,B,C,D,Di,E,H,S,U,V
3939,4,white_wine,8.30,1.01,4.05,3.40,2.49,21.10,1.98,2.85,41.80,45.86,1.38,2.17,3.07,7.75,0.23
3940,3,red_wine,8.35,1.02,16.53,3.31,2.87,35.10,3.96,9.00,33.00,38.32,2.03,4.46,7.45,3.30,0.32
3941,3,red_wine,7.80,1.02,6.63,3.52,2.68,26.90,8.38,3.00,9.90,17.48,1.36,4.15,6.13,1.60,0.03
3942,6,white_wine,9.15,1.01,3.31,3.32,1.16,23.10,3.56,5.40,34.10,39.40,0.66,1.55,4.09,5.25,0.02
3943,6,white_wine,8.60,1.01,2.97,3.64,2.11,22.90,0.92,5.40,46.20,59.31,1.62,1.55,6.86,7.20,0.22
3944,3,white_wine,8.05,1.02,5.96,3.40,14.84,23.10,2.24,4.05,81.40,88.74,1.46,2.48,2.48,10.55,0.12
3945,4,white_wine,7.70,1.02,1.93,3.32,7.62,25.30,3.43,5.85,48.40,61.60,0.39,1.92,4.53,10.45,0.18
3946,3,white_wine,8.00,1.01,3.36,3.46,1.35,21.10,0.53,4.95,24.20,39.68,1.27,1.80,3.36,6.25,0.10
3947,3,red_wine,8.10,1.02,6.92,3.50,2.02,28.10,9.31,3.60,9.90,13.48,1.02,4.28,6.57,0.75,0.21
3948,4,white_wine,7.90,1.02,12.71,3.58,16.45,24.30,1.85,4.80,52.80,68.84,0.92,2.91,2.34,7.60,0.24
3949,4,white_wine,9.40,1.01,4.50,3.48,2.49,24.50,4.22,5.70,42.90,63.02,1.70,1.30,3.50,5.15,0.01
3950,3,white_wine,8.55,1.02,4.70,3.36,9.80,25.10,2.77,3.60,26.40,31.82,0.99,3.04,3.50,5.45,0.27
3951,6,white_wine,9.05,1.01,14.18,3.63,2.49,23.90,0.53,5.40,18.70,34.66,1.30,1.74,8.76,5.25,0.05
3952,5,white_wine,8.20,1.02,1.34,3.64,1.73,24.90,1.98,3.75,46.20,48.66,0.78,2.48,4.67,6.75,0.02
3953,4,white_wine,9.20,1.01,2.82,3.46,4.63,26.70,1.58,11.10,35.20,44.96,1.08,2.17,2.92,6.20,0.09
3954,5,white_wine,9.50,1.01,4.17,3.40,6.19,23.30,3.70,4.20,12.10,19.34,1.98,1.24,0.73,4.35,0.20
3955,6,white_wine,7.50,1.02,3.12,3.14,13.61,24.70,1.45,4.05,48.40,56.58,0.97,2.98,2.77,7.45,0.16
3956,4,white_wine,8.95,1.02,2.97,3.16,11.42,23.70,2.90,4.05,23.10,33.56,1.73,1.18,2.34,4.55,0.23
3957,3,red_wine,8.10,1.02,12.67,3.25,2.77,33.90,6.60,9.90,5.50,15.77,1.75,3.91,4.96,1.55,0.17
3958,3,white_wine,7.90,1.02,1.66,3.30,17.64,24.50,2.77,7.95,63.80,67.45,1.59,2.36,4.38,8.80,0.15
3959,4,red_wine,8.70,1.02,2.60,3.65,2.77,23.70,6.47,0.00,34.10,53.68,1.35,3.91,4.96,2.90,0.28
3960,3,white_wine,7.65,1.02,2.02,3.30,14.94,25.90,3.50,7.65,58.30,72.65,1.35,2.36,4.23,8.25,0.07
3961,6,white_wine,8.85,1.02,2.08,3.27,14.17,23.10,3.30,3.60,20.90,27.27,1.50,2.42,1.17,4.50,0.00
3962,2,red_wine,8.00,1.02,4.89,3.50,2.30,26.10,9.90,4.05,11.00,17.53,1.08,4.40,3.80,2.85,0.31
3963,4,white_wine,8.45,1.01,9.75,3.31,1.63,23.30,3.43,4.20,34.10,43.72,1.56,1.61,2.92,4.20,0.18
3964,3,white_wine,7.65,1.02,5.22,3.43,1.54,22.50,3.56,0.45,30.80,43.49,1.43,3.41,4.67,5.70,0.13
3965,3,white_wine,9.35,1.02,5.79,3.35,14.17,23.50,3.04,4.80,5.50,10.08,1.94,1.80,1.75,3.65,0.22
3966,3,white_wine,8.05,1.02,10.05,3.72,6.29,23.30,4.22,6.90,45.10,48.94,1.46,2.91,5.55,11.75,0.01
3967,5,white_wine,8.70,1.01,4.72,3.44,4.96,22.50,4.09,3.60,48.40,61.57,1.45,1.74,3.07,6.60,0.26
3968,5,red_wine,8.15,1.02,4.24,3.64,2.11,22.30,4.22,2.40,11.00,17.66,1.43,3.72,7.59,0.95,0.11
3969,3,red_wine,8.25,1.02,9.21,3.58,2.21,25.30,7.46,0.45,14.30,18.10,1.65,4.77,3.50,2.55,0.33
3970,3,white_wine,8.50,1.02,2.35,3.88,9.04,21.70,2.64,9.90,27.50,38.35,1.93,1.86,4.82,7.65,0.19
3971,3,red_wine,7.85,1.02,5.06,3.37,2.58,34.70,4.09,9.45,5.50,15.08,1.14,5.08,3.94,0.60,0.27
3972,3,white_wine,7.85,1.02,4.17,3.27,15.22,24.90,3.30,3.90,72.60,72.75,1.01,2.48,6.72,10.20,0.08
3973,4,white_wine,8.20,1.02,3.90,3.16,6.38,23.90,1.72,9.30,6.60,24.63,1.04,2.05,5.40,5.15,0.03
3974,3,red_wine,8.35,1.02,4.30,3.64,5.62,24.30,4.62,6.30,29.70,36.12,1.52,3.84,7.15,6.10,0.11
3975,3,white_wine,8.10,1.01,8.23,3.43,2.02,21.10,2.11,6.75,23.10,43.95,1.68,2.29,3.80,5.35,0.21
3976,3,white_wine,8.15,1.02,7.02,3.31,7.81,25.50,2.24,4.50,72.60,91.06,0.78,1.80,4.09,9.50,0.14
3977,3,white_wine,7.40,1.02,1.44,3.34,15.60,23.70,4.75,3.00,66.00,86.23,1.42,3.47,3.36,9.00,0.09
3978,4,white_wine,8.00,1.02,2.26,3.38,5.91,24.50,3.43,3.00,56.10,72.62,1.25,3.29,3.21,9.85,0.04
3979,5,white_wine,8.43,1.01,2.99,3.50,1.35,21.90,1.32,4.20,25.30,38.44,0.81,1.74,4.82,4.10,0.01
3980,4,white_wine,9.12,1.01,5.07,3.58,2.21,20.10,1.58,6.00,20.90,20.52,1.03,0.37,4.82,4.60,0.27
3981,4,white_wine,8.90,1.01,5.69,3.25,1.44,28.50,0.79,5.55,38.50,52.91,1.37,1.55,4.82,3.90,0.01
3982,5,white_wine,8.30,1.02,0.33,3.63,1.82,24.10,2.11,5.25,55.00,72.71,1.31,2.67,5.40,6.10,0.05
3983,4,white_wine,8.45,1.01,4.37,3.44,3.96,22.70,1.98,3.30,39.60,48.74,0.49,1.86,4.09,5.50,0.16
3984,4,red_wine,8.50,1.02,4.39,3.31,3.06,33.90,4.09,10.35,17.60,24.85,1.71,5.33,5.69,1.45,0.22
3985,4,white_wine,7.70,1.01,25.81,3.43,1.06,20.30,0.79,3.75,15.40,28.26,1.15,1.86,3.07,4.15,0.25
3986,4,red_wine,9.80,1.02,8.62,3.27,4.29,31.30,4.75,10.20,5.50,10.42,1.06,6.51,6.42,0.90,0.05
3987,4,white_wine,8.70,1.01,12.61,3.39,4.96,23.10,1.06,4.95,48.40,58.80,1.52,2.11,3.21,5.40,0.19
3988,4,red_wine,8.45,1.02,7.27,3.57,4.20,25.90,6.14,0.90,28.60,39.51,1.25,4.84,6.57,2.75,0.32
3989,3,white_wine,8.25,1.01,7.97,3.49,1.63,25.10,2.64,6.15,11.00,20.21,0.77,2.17,3.36,6.00,0.01
3990,4,white_wine,8.15,1.02,3.59,3.71,7.43,21.90,1.45,3.90,35.20,50.58,1.26,1.55,2.92,5.85,0.16
3991,5,red_wine,8.40,1.02,2.08,3.38,2.68,30.30,3.83,5.10,4.40,13.45,1.50,4.71,6.28,0.55,0.35
3992,4,white_wine,8.85,1.01,0.97,3.33,4.39,23.90,2.38,4.05,20.90,30.80,1.65,1.36,2.48,3.70,0.21
3993,5,red_wine,8.55,1.02,9.68,3.22,2.49,32.30,3.04,7.95,2.20,14.67,0.57,3.16,8.91,0.20,0.32
3994,4,white_wine,7.90,1.02,4.12,3.29,13.32,24.50,2.77,6.00,71.50,85.81,1.12,2.23,5.40,11.25,0.02
3995,3,white_wine,7.80,1.02,6.62,3.41,8.19,23.70,2.38,6.60,56.10,74.91,1.46,2.29,4.23,8.85,0.03
3996,4,white_wine,8.50,1.02,5.99,3.62,12.32,21.30,1.65,2.40,33.00,45.52,1.21,2.60,2.34,5.45,0.16
3997,3,red_wine,8.00,1.02,3.27,3.41,2.87,25.70,10.56,0.00,26.40,39.11,1.47,5.52,6.72,3.05,0.23
3998,4,red_wine,9.00,1.02,0.68,3.63,2.40,25.50,8.38,0.15,33.00,47.96,1.16,3.41,5.11,1.85,0.39
3999,3,red_wine,7.85,1.02,5.94,3.73,2.96,24.50,7.13,0.90,15.40,26.99,1.08,4.22,4.67,3.95,0.17
4000,3,white_wine,7.50,1.02,3.73,3.51,16.64,23.10,1.85,3.75,47.30,57.18,1.39,2.54,2.19,6.60,0.25
4001,4,white_wine,9.35,1.01,4.89,3.16,8.29,23.50,3.70,4.20,30.80,42.75,1.40,1.55,2.48,3.75,0.05
4002,2,white_wine,8.10,1.02,1.33,3.40,5.53,24.30,1.98,3.60,64.90,80.14,1.64,1.86,8.18,9.50,0.12
4003,4,white_wine,7.70,1.02,6.31,3.33,9.61,22.10,1.19,4.35,35.20,35.29,1.51,2.17,2.04,4.60,0.14
4004,4,white_wine,8.80,1.01,2.46,3.25,2.21,23.30,1.19,5.40,40.70,52.99,1.75,1.67,4.67,5.20,0.24
4005,2,white_wine,8.80,1.01,3.19,3.49,1.25,21.70,3.70,5.70,2.20,18.81,1.38,1.74,1.75,3.45,0.04
4006,4,white_wine,9.00,1.01,6.98,3.54,2.30,22.50,2.38,4.35,16.50,17.72,1.50,1.67,5.69,4.05,0.26
4007,3,white_wine,7.55,1.02,5.32,3.66,17.31,25.10,1.98,5.25,139.70,147.82,0.80,3.04,3.07,10.30,0.04
4008,4,white_wine,7.85,1.02,7.43,3.33,11.04,22.70,2.64,7.05,66.00,85.80,1.30,1.92,4.23,8.85,0.08
4009,4,white_wine,8.82,1.01,4.43,3.24,1.44,25.10,2.11,4.35,36.30,46.59,1.93,2.29,2.48,3.90,0.10
4010,4,white_wine,7.85,1.02,7.15,3.33,7.43,25.90,1.06,4.50,62.70,72.50,1.60,2.54,2.19,7.30,0.23
4011,5,white_wine,8.75,1.01,4.80,3.20,1.92,26.10,3.83,4.80,34.10,43.31,1.63,1.92,4.82,8.00,0.10
4012,5,white_wine,9.50,1.01,3.71,3.50,4.10,26.10,6.47,5.85,23.10,35.78,2.37,1.55,6.57,5.80,0.14
4013,3,white_wine,9.00,1.01,0.61,3.14,8.09,28.10,6.20,4.50,14.30,24.26,1.66,1.05,2.04,3.25,0.13
4014,4,white_wine,7.80,1.02,0.09,3.38,7.71,23.50,3.04,2.70,61.60,72.53,1.45,2.11,3.21,9.70,0.19
4015,3,white_wine,7.90,1.02,4.68,3.45,1.73,22.30,3.96,7.05,63.80,78.39,0.92,2.60,4.09,10.20,0.20
4016,4,white_wine,7.85,1.02,2.79,3.28,11.61,26.50,1.32,4.65,104.50,111.52,1.44,1.86,4.38,12.15,0.16
4017,2,red_wine,7.75,1.02,4.25,3.47,3.06,27.70,7.00,4.50,17.60,22.95,1.26,4.90,4.23,2.00,0.16
4018,4,white_wine,8.00,1.02,11.02,3.50,8.86,24.10,1.85,4.35,25.30,36.75,1.62,2.54,3.50,4.20,0.01
4019,5,white_wine,8.45,1.01,7.16,3.28,4.87,22.70,1.58,3.90,117.70,130.63,1.81,1.92,7.74,8.10,0.13
4020,5,white_wine,8.35,1.02,4.47,3.76,1.73,24.90,1.32,4.35,36.30,44.29,0.99,2.05,5.55,4.75,0.11
4021,4,white_wine,7.85,1.02,3.44,3.05,17.02,23.70,1.45,10.65,22.00,27.62,1.20,2.05,4.09,5.40,0.29
4022,4,red_wine,7.70,1.02,11.45,3.37,10.85,30.10,5.41,3.00,13.20,34.90,1.90,3.84,6.86,2.20,0.12
4023,6,white_wine,8.70,1.01,2.52,3.77,4.01,20.50,2.11,6.75,22.00,39.02,1.30,1.12,3.94,6.10,0.10
4024,4,white_wine,8.60,1.01,1.81,3.45,2.11,23.90,3.17,4.50,29.70,39.85,0.94,1.67,3.80,5.55,0.26
4025,5,white_wine,8.60,1.02,6.78,3.17,9.04,22.90,1.85,5.70,37.40,45.40,1.31,2.17,1.17,6.05,0.14
4026,4,white_wine,8.70,1.01,5.28,3.27,2.49,21.50,2.64,4.20,15.40,25.04,1.07,0.62,4.38,2.95,0.03
4027,5,white_wine,7.55,1.02,5.28,3.24,12.84,24.70,2.24,5.40,37.40,41.71,0.96,2.54,3.50,9.70,0.11
4028,4,white_wine,8.75,1.01,3.08,3.52,3.53,22.10,3.04,3.60,26.40,37.41,1.10,1.98,3.21,6.85,0.04
4029,3,white_wine,7.60,1.02,10.77,3.45,5.25,23.30,6.60,4.50,31.90,45.72,1.31,2.98,2.34,5.85,0.01
4030,4,white_wine,8.20,1.02,10.30,3.38,7.05,23.10,2.77,3.90,18.70,27.09,1.44,1.92,2.34,5.35,0.03
4031,3,white_wine,8.60,1.01,1.19,3.57,4.29,22.50,3.17,3.60,36.30,50.21,1.45,2.60,4.38,7.15,0.06
4032,4,red_wine,9.00,1.02,10.81,3.49,2.30,26.50,8.71,1.35,4.40,13.83,1.77,3.60,5.11,0.20,0.11
4033,4,white_wine,9.00,1.01,11.41,3.49,2.11,22.70,1.98,4.50,16.50,30.83,1.18,1.49,2.63,4.25,0.04
4034,4,white_wine,8.35,1.01,0.17,3.39,1.54,21.70,3.04,4.95,24.20,30.87,1.07,1.67,5.55,4.65,0.14
4035,3,red_wine,7.85,1.02,9.21,3.25,2.77,31.70,5.54,6.90,4.40,11.99,1.41,3.97,6.13,1.05,0.30
4036,5,white_wine,8.15,1.02,1.11,3.25,2.40,25.30,1.72,9.00,50.60,54.81,1.26,2.29,4.67,7.95,0.04
4037,3,red_wine,8.35,1.02,7.72,3.57,3.63,26.70,4.62,4.50,6.60,24.07,1.44,4.34,5.69,1.40,0.33
4038,5,white_wine,8.45,1.01,8.47,3.38,1.44,22.90,0.33,4.35,47.30,55.64,1.26,1.61,4.82,6.70,0.05
4039,4,white_wine,8.55,1.01,13.08,3.42,1.92,23.70,1.58,5.40,6.60,19.13,1.61,1.18,5.55,2.00,0.22
4040,5,white_wine,9.30,1.01,1.85,3.40,1.63,23.50,1.06,5.55,48.40,58.07,1.80,1.67,4.23,5.95,0.09
4041,5,red_wine,9.50,1.02,1.20,3.51,3.06,26.50,3.30,4.80,3.30,11.77,1.80,3.60,7.88,0.30,0.05
4042,3,white_wine,7.60,1.02,15.09,3.45,7.81,22.70,2.38,3.75,47.30,59.95,1.48,3.04,2.77,8.00,0.16
4043,4,white_wine,8.60,1.01,3.62,3.66,1.82,21.70,1.58,4.50,22.00,39.53,1.65,1.36,4.82,2.55,0.10
4044,3,white_wine,7.70,1.02,8.36,3.55,2.96,20.70,8.98,0.45,28.60,42.28,0.95,2.11,2.34,4.35,0.06
4045,3,white_wine,7.85,1.02,8.56,3.45,5.72,22.90,3.83,3.00,66.00,73.87,1.78,6.70,3.07,8.85,0.09
4046,4,white_wine,9.20,1.01,6.89,3.45,1.35,24.30,0.92,5.10,28.60,42.85,1.26,1.49,2.77,3.35,0.03
4047,4,red_wine,8.10,1.02,8.73,3.48,1.92,29.50,3.04,7.05,13.20,22.82,1.49,3.29,6.42,1.35,0.29
4048,3,white_wine,7.90,1.01,8.15,3.51,1.82,22.30,1.85,7.35,18.70,24.37,1.07,2.60,3.50,4.05,0.18
4049,3,red_wine,7.85,1.02,0.27,3.53,2.40,25.50,7.79,3.45,17.60,16.35,1.06,4.90,3.80,4.50,0.39
4050,5,white_wine,9.70,1.01,0.44,3.36,5.91,24.30,4.75,3.45,25.30,34.22,1.75,1.61,5.11,4.70,0.00
4051,2,red_wine,8.70,1.02,3.22,3.81,2.30,22.70,12.41,0.00,17.60,33.60,1.31,4.59,4.82,0.90,0.41
4052,3,white_wine,7.80,1.02,7.17,3.55,7.53,24.10,1.72,4.20,48.40,61.55,1.53,3.78,4.82,8.95,0.21
4053,4,white_wine,7.40,1.02,0.87,3.23,5.06,23.70,1.85,3.60,31.90,37.18,1.67,5.15,3.50,5.85,0.22
4054,3,white_wine,7.45,1.02,2.82,3.20,18.73,23.70,2.11,7.35,59.40,65.80,1.60,2.98,4.96,12.05,0.22
4055,4,white_wine,8.35,1.02,1.95,3.47,12.46,23.90,6.07,3.90,63.80,69.19,1.71,2.48,4.67,9.45,0.17
4056,4,white_wine,9.60,1.01,1.46,3.47,4.20,23.50,5.02,3.15,12.10,24.71,1.47,1.55,4.67,4.10,0.25
4057,4,white_wine,8.55,1.01,7.14,3.39,2.87,22.30,1.45,5.55,25.30,37.31,1.63,1.98,4.09,4.65,0.04
4058,4,white_wine,7.85,1.02,3.55,3.05,17.02,23.70,1.45,10.65,22.00,39.38,1.18,2.05,4.09,5.40,0.23
4059,3,white_wine,7.85,1.02,1.51,3.23,10.85,24.10,2.11,7.65,59.40,65.65,1.24,1.24,5.69,11.05,0.23
4060,3,white_wine,7.90,1.02,5.72,3.57,5.25,23.30,0.92,5.10,36.30,43.39,1.16,2.85,2.92,5.95,0.04
4061,3,white_wine,8.45,1.01,1.76,3.45,1.73,24.70,3.17,5.25,7.70,26.36,1.34,2.54,2.92,7.85,0.04
4062,4,white_wine,7.85,1.02,6.09,3.07,8.19,,1.85,8.40,39.60,49.15,1.26,2.17,6.72,8.75,0.22
4063,3,white_wine,7.75,1.02,9.97,3.39,3.63,22.90,7.92,3.90,26.40,33.78,1.26,3.72,2.63,7.00,0.13
4064,4,white_wine,7.95,1.02,4.98,3.32,10.28,24.90,1.32,4.50,47.30,55.81,1.27,2.23,5.11,8.40,0.01
4065,3,white_wine,8.45,1.02,7.11,3.35,6.58,25.30,2.77,3.90,34.10,50.47,0.85,2.05,3.65,7.70,0.13
4066,4,white_wine,7.55,1.02,4.92,3.09,13.70,24.90,2.11,6.30,51.70,63.87,1.54,3.53,2.92,9.60,0.24
4067,3,white_wine,7.85,1.02,3.58,3.32,6.96,24.10,3.43,5.85,46.20,51.11,1.29,3.53,4.53,7.80,0.13
4068,4,white_wine,8.45,1.01,7.45,3.27,4.20,22.70,2.38,3.15,25.30,40.29,1.33,1.30,1.75,5.95,0.21
4069,3,white_wine,9.05,1.01,3.76,3.32,1.54,25.50,1.32,7.95,45.10,51.89,1.67,1.98,3.21,8.05,0.14
4070,4,white_wine,8.15,1.01,5.99,3.76,1.25,20.30,3.04,4.50,29.70,45.22,1.38,1.74,4.96,7.30,0.05
4071,5,white_wine,9.00,1.01,2.50,3.28,2.87,24.90,3.30,3.90,30.80,40.85,1.64,1.92,4.38,5.45,0.28
4072,3,white_wine,7.45,1.02,3.45,3.35,3.34,22.30,1.85,3.45,15.40,28.78,1.19,2.67,2.92,4.90,0.03
4073,5,white_wine,8.95,1.01,6.75,3.42,2.68,25.70,3.17,4.95,18.70,31.19,1.93,1.74,6.28,4.75,0.14
4074,4,white_wine,8.35,1.01,10.29,3.15,1.73,24.30,1.32,6.30,50.60,71.54,1.44,2.23,1.31,7.55,0.25
4075,4,white_wine,8.20,1.02,5.11,3.68,1.63,24.50,0.00,7.35,18.70,38.05,0.65,2.54,3.21,7.10,0.15
4076,4,white_wine,8.60,1.01,6.90,3.19,7.43,25.70,1.45,4.80,50.60,58.90,1.26,0.37,2.48,5.90,0.08
4077,6,red_wine,9.55,1.01,5.74,3.78,1.73,21.30,10.16,0.75,12.10,30.35,1.51,2.23,8.76,4.10,0.32
4078,4,white_wine,7.80,1.02,5.66,3.38,2.49,23.70,3.17,3.15,15.40,26.87,1.16,2.17,2.48,3.10,0.13
4079,4,white_wine,9.25,1.01,1.45,3.43,8.29,22.50,5.15,2.85,25.30,28.69,1.54,1.24,3.36,6.80,0.15
4080,4,white_wine,8.20,1.02,5.02,3.34,2.11,26.50,1.85,4.50,50.60,66.26,1.32,2.36,4.09,8.95,0.19
4081,4,white_wine,8.30,1.01,11.70,3.45,2.30,22.70,1.85,4.50,24.20,50.83,1.21,2.54,3.65,5.70,0.14
4082,4,red_wine,8.25,1.02,22.68,3.59,2.58,24.50,6.47,0.75,16.50,25.04,1.23,4.46,5.55,1.50,0.20
4083,3,red_wine,7.70,1.02,6.69,3.53,1.73,21.30,3.04,5.55,12.10,16.20,0.91,4.03,5.26,4.50,0.12
4084,3,red_wine,7.85,1.02,7.20,3.54,2.40,25.70,6.34,2.85,15.40,27.16,1.40,4.46,4.67,4.95,0.37
4085,6,red_wine,9.00,1.02,6.14,3.18,2.21,30.10,2.38,8.10,45.10,52.39,1.87,4.59,5.99,3.40,0.31
4086,4,white_wine,8.25,1.02,4.13,3.51,8.86,23.70,1.85,4.35,89.10,100.68,1.42,2.29,3.21,9.10,0.07
4087,2,white_wine,8.50,1.02,5.21,3.21,11.71,24.90,2.64,6.00,13.20,21.96,0.93,1.43,3.50,4.30,0.25
4088,4,white_wine,8.40,1.02,4.43,3.20,11.32,22.70,2.64,3.30,28.60,44.13,1.68,1.67,1.61,7.20,0.12
4089,4,white_wine,8.15,1.02,2.53,3.25,2.02,26.70,1.58,7.35,40.70,53.33,1.54,1.80,2.19,8.05,0.14
4090,3,white_wine,7.65,1.02,1.51,3.30,14.94,25.90,3.50,7.65,58.30,61.72,1.60,2.36,4.23,8.25,0.05
4091,3,white_wine,8.40,1.02,2.81,3.52,9.99,22.50,3.50,4.05,40.70,52.39,1.21,2.91,4.96,9.05,0.02
4092,3,red_wine,8.45,1.02,0.39,3.57,3.06,24.30,5.02,2.10,15.40,23.05,1.83,4.15,3.94,1.55,0.11
4093,5,white_wine,8.35,1.01,2.03,3.70,1.92,22.90,2.64,4.35,36.30,46.98,1.38,2.67,4.96,6.05,0.01
4094,4,white_wine,9.20,1.01,2.74,3.47,2.40,24.90,1.58,24.90,36.30,48.03,1.71,0.81,4.82,5.35,0.17
4095,4,white_wine,7.65,1.02,2.10,3.55,14.89,24.30,1.32,5.85,48.40,55.12,1.40,2.36,8.03,7.60,0.15
4096,3,red_wine,8.00,1.02,8.61,3.13,2.30,27.30,5.41,4.35,19.80,26.57,1.29,6.26,25.70,6.35,0.42
4097,4,red_wine,7.95,1.02,0.56,3.41,2.77,27.90,8.78,2.70,15.40,18.01,1.61,4.22,3.65,2.10,0.20
4098,4,white_wine,8.40,1.02,11.40,3.41,4.87,23.90,2.11,5.10,46.20,54.57,1.36,,5.40,7.75,0.02
4099,4,red_wine,7.70,1.02,2.81,3.33,2.68,34.50,3.43,7.50,9.90,16.90,1.15,3.53,14.02,0.75,0.45
4100,4,white_wine,8.70,1.01,0.63,3.08,2.87,24.10,1.06,4.50,36.30,44.01,1.03,2.11,3.65,4.20,0.02
4101,5,white_wine,8.55,1.02,6.98,3.36,7.43,23.10,1.85,4.35,16.50,19.18,1.48,1.18,4.96,4.05,0.19
4102,3,red_wine,8.55,1.02,6.40,3.76,2.11,26.30,16.50,0.00,2.20,18.55,1.23,4.53,3.80,0.30,0.14
4103,3,white_wine,7.45,1.02,6.08,3.53,17.31,24.30,2.11,6.15,41.80,55.93,1.11,2.29,2.48,6.95,0.04
4104,4,white_wine,8.75,1.02,10.37,3.47,7.81,25.70,4.22,7.35,36.30,50.99,1.80,3.16,5.26,7.80,0.14
4105,5,white_wine,8.30,1.01,1.40,3.20,1.44,26.50,1.32,7.35,29.70,35.50,1.39,1.49,6.72,3.75,0.17
4106,4,white_wine,7.85,1.01,2.66,3.25,1.44,23.10,1.85,2.85,38.50,46.41,1.10,3.41,4.09,9.25,0.05
4107,4,white_wine,7.85,1.02,1.48,3.46,11.56,22.70,2.51,6.90,66.00,80.75,0.87,1.74,4.53,10.30,0.10
4108,4,white_wine,7.90,1.01,1.01,3.45,1.44,22.70,5.28,0.60,31.90,37.39,1.75,2.29,2.04,4.65,0.15
4109,4,white_wine,8.70,1.01,4.36,3.27,1.35,25.30,0.26,4.95,35.20,41.72,1.62,1.36,6.72,4.35,0.22
4110,4,white_wine,8.90,1.01,6.94,3.50,2.02,23.30,2.64,5.40,23.10,32.29,2.01,1.80,5.11,4.75,0.04
4111,5,white_wine,8.85,1.01,2.49,3.43,1.73,25.10,2.97,5.70,31.90,34.28,1.90,2.36,4.38,4.45,0.08
4112,5,white_wine,7.75,1.01,2.53,3.33,1.44,23.30,1.06,8.55,62.70,71.64,1.52,7.50,2.48,6.70,0.24
4113,5,white_wine,8.10,1.02,4.86,3.68,7.05,21.70,3.43,2.40,27.50,37.77,1.69,1.74,3.36,5.50,0.23
4114,4,white_wine,8.00,1.01,4.02,3.33,1.82,22.10,1.45,10.65,8.80,18.62,1.00,8.87,3.50,2.45,0.12
4115,5,red_wine,8.50,1.02,8.31,3.63,6.10,23.70,6.73,0.90,11.00,17.76,1.65,3.16,5.40,0.60,0.29
4116,4,white_wine,8.15,1.02,4.60,3.38,9.99,26.30,2.24,5.10,31.90,42.40,1.52,2.54,3.94,5.75,0.09
4117,3,red_wine,8.20,1.02,7.40,3.79,2.30,21.90,7.46,1.80,34.10,48.13,1.07,4.09,7.15,1.90,0.17
4118,3,white_wine,8.50,1.01,3.92,3.30,1.16,21.90,1.45,5.55,2.20,10.04,0.62,1.12,1.31,0.75,0.21
4119,4,red_wine,8.30,1.02,6.37,3.56,2.40,23.70,7.52,0.30,7.70,11.41,1.35,4.28,5.84,0.45,0.29
4120,2,white_wine,7.70,1.02,4.63,3.24,14.60,25.10,2.77,3.90,50.60,53.27,1.06,3.60,3.94,8.60,0.13
4121,4,white_wine,7.65,1.02,7.73,3.25,14.08,23.30,1.85,4.35,41.80,50.45,1.12,2.29,4.09,5.60,0.15
4122,3,red_wine,10.55,1.02,8.13,3.18,7.53,41.90,3.70,9.75,23.10,25.00,1.44,5.39,9.05,3.25,0.07
4123,4,white_wine,8.00,1.02,0.38,3.29,9.61,25.30,1.85,5.10,27.50,39.93,1.61,1.61,3.94,6.85,0.22
4124,3,red_wine,7.90,1.02,4.45,3.40,2.21,26.90,8.78,1.65,16.50,32.93,2.20,5.02,8.76,2.85,0.07
4125,2,white_wine,8.05,1.02,6.80,3.19,6.29,30.50,4.75,13.20,20.90,30.68,1.38,2.48,4.23,5.90,0.21
4126,5,white_wine,8.75,1.02,2.06,3.33,11.04,25.50,4.75,3.60,44.00,47.19,1.42,1.36,3.07,8.05,0.03
4127,4,white_wine,8.70,1.01,3.84,3.07,1.63,23.30,2.24,3.75,29.70,34.06,1.33,1.92,3.80,3.95,0.11
4128,3,white_wine,7.75,1.02,5.38,3.25,1.82,25.30,7.79,2.10,26.40,32.64,0.94,4.03,4.23,8.10,0.01
4129,2,white_wine,8.20,1.02,5.53,3.31,2.30,28.50,1.06,7.35,18.70,25.80,2.12,2.17,4.53,5.05,0.22
4130,5,white_wine,8.55,1.02,1.09,3.32,9.71,23.70,1.32,4.20,30.80,44.84,1.03,1.86,3.36,5.35,0.15
4131,4,white_wine,8.25,1.02,9.66,3.44,8.29,23.50,2.38,7.35,58.30,65.46,1.10,2.36,2.63,9.25,0.20
4132,4,red_wine,9.10,1.02,7.30,3.22,3.25,37.70,5.41,10.05,5.50,20.73,1.15,5.21,10.37,0.45,0.23
4133,4,red_wine,8.35,1.02,8.38,3.58,2.87,25.50,4.62,3.75,30.80,34.27,1.17,3.97,5.26,2.85,0.19
4134,4,white_wine,7.80,1.02,3.43,3.51,1.25,22.50,0.92,7.35,17.60,26.52,1.01,1.49,7.01,2.25,0.06
4135,4,white_wine,8.20,1.02,1.24,3.48,4.20,24.30,3.17,4.35,35.20,43.36,1.95,1.80,6.13,8.20,0.23
4136,4,white_wine,8.90,1.02,4.90,3.33,9.90,26.10,3.30,5.25,23.10,28.47,1.35,1.61,2.04,5.10,0.20
4137,4,white_wine,8.20,1.01,2.22,3.34,2.02,23.30,1.32,4.20,57.20,77.65,1.34,1.98,3.36,7.75,0.11
